event,species,E_GeV
0,pip,151.713
0,pim,38.8571
0,pip,32.535
0,pi0,22.3836
0,pip,2.85433
0,Km,2.78157
0,Kp,2.62171
0,n,1.93315
0,pim,1.73961
0,pim,1.49419
0,pi0,0.872691
0,pip,0.617281
0,pip,0.583201
1,pi0,103.751
1,pip,89.5718
1,pim,83.8466
1,pim,37.547
1,pip,26.9405
1,pi0,17.2621
1,pi0,9.11715
1,p,7.66548
1,pip,6.51613
1,pip,5.72523
1,pim,5.40391
1,pi0,2.76333
1,pi0,0.512705
2,p,175.173
2,pim,37.4405
2,pip,24.1351
2,pi0,22.7465
2,pi0,22.2208
2,p,10.7916
2,pim,8.39914
2,pip,3.54695
2,pi0,3.03296
2,pim,2.30365
2,pip,1.92867
2,pip,1.51497
2,pim,1.41047
3,Kp,116.565
3,p,27.7511
3,pi0,13.185
3,pim,3.047
3,p,2.18824
3,pip,1.74784
3,pim,0.560892
3,pi0,0.247289
4,pip,188.885
4,pi0,108.764
4,pi0,102.545
4,pi0,47.5683
4,pi0,41.0584
4,pip,32.6162
4,pi0,28.4797
4,pim,17.8754
4,pi0,10.0783
4,n,9.96584
4,pi0,3.33798
4,n,2.96432
4,pi0,2.71729
4,pi0,2.56778
4,pi0,1.02097
4,pip,0.980072
5,pim,179.878
5,pip,125.707
5,pip,87.6629
5,pip,39.0736
5,pim,12.5541
5,KL,2.64352
5,p,2.54819
5,pip,1.61191
5,pim,0.730309
6,pi0,68.2696
6,pip,17.7144
6,pi0,12.8667
6,pim,8.70871
6,pi0,5.69242
6,pim,2.90406
6,pi0,2.43897
6,pip,2.26056
6,pim,1.97906
6,p,1.34363
6,pip,1.20548
6,pim,1.06142
6,pip,0.862485
6,pi0,0.767068
6,pip,0.413228
7,pim,132.169
7,Kp,118.835
7,pi0,58.6382
7,pim,42.4684
7,pi0,36.9549
7,pip,26.7931
7,Kp,21.7348
7,pi0,19.3351
7,Km,12.4554
7,pip,10.798
7,pim,10.4009
7,pip,10.2564
7,Km,7.67845
7,pip,6.08393
7,pip,2.62386
7,n,1.60039
8,pip,2.7985
8,p,2.44158
8,pi0,1.42076
9,p,53.3926
9,pi0,17.9739
9,pim,10.982
9,pip,10.7971
9,pi0,9.25796
9,p,2.56866
9,pi0,1.29216
9,pi0,1.21681
9,pim,0.994505
9,pi0,0.873749
9,pip,0.545959
9,pim,0.469494
9,pip,0.386292
9,pip,0.241937
10,pim,96.666
10,pip,69.3955
10,pi0,57.8241
10,pip,24.1235
10,pim,23.3304
10,pi0,8.87167
10,pim,5.30031
10,p,3.99901
10,pip,2.99627
10,pi0,2.0955
10,pi0,1.43053
10,pip,1.07937
11,pi0,109.531
11,pi0,90.3035
11,pi0,88.7024
11,p,59.2638
11,pi0,54.2949
11,pi0,39.7667
11,pim,28.7645
11,pi0,27.7883
11,pi0,21.8844
11,pip,2.71872
11,pi0,1.4665
11,pip,1.20578
12,pi0,205.953
12,Km,176.034
12,p,108.773
12,pi0,45.2156
12,KL,40.8842
12,pip,36.5462
12,pip,29.2347
12,pim,16.8724
12,pi0,11.5922
12,pip,7.2542
12,pim,7.11719
12,pi0,7.00806
12,pip,6.57415
12,pim,6.31741
12,n,3.7501
12,pi0,2.10614
12,pip,0.568976
13,pi0,109.465
13,pi0,44.6007
13,pi0,42.5561
13,pim,14.334
13,pi0,11.4075
13,pip,8.28413
13,n,3.03589
13,pi0,1.73582
13,pi0,0.927282
13,pip,0.920084
13,pip,0.153839
14,pim,34.8565
14,Kp,33.4375
14,pi0,22.7745
14,pi0,19.5817
14,pi0,10.947
14,pi0,9.62327
14,p,6.31505
14,pi0,5.27317
14,pi0,5.04754
14,pip,4.57371
14,pi0,3.74454
14,pi0,3.18126
14,pim,2.78201
14,pip,2.01437
14,pi0,1.51019
14,pip,1.2429
14,pi0,1.17381
14,pim,0.953767
14,pi0,0.604003
15,Km,26.4689
15,pip,23.6219
15,pi0,11.5877
15,pip,10.7121
15,pi0,5.48476
15,n,3.73147
15,pi0,3.05947
15,pi0,2.17126
15,pi0,0.840755
15,pip,0.53196
16,pim,226.215
16,pi0,204.262
16,pip,142.047
16,pip,59.2609
16,Kp,8.90028
16,pim,8.50876
16,p,7.86817
16,pi0,4.02328
16,pip,1.96257
16,pim,1.33337
16,pi0,0.775493
17,pim,509.035
17,pi0,93.4126
17,pip,72.8797
17,pi0,46.8799
17,pip,27.5865
17,pim,25.4448
17,pim,24.1414
17,pip,18.3916
17,pip,13.077
17,n,10.1992
17,pi0,9.35119
17,pip,6.75078
17,pim,6.02427
17,pi0,2.1465
17,pi0,1.43016
17,pi0,0.998748
17,pim,0.400697
17,pip,0.337891
17,pip,0.230306
18,pim,184.6
18,Kp,95.2672
18,pip,68.6318
18,pim,62.5071
18,pim,62.3216
18,pi0,43.1388
18,pi0,41.0771
18,pi0,20.0859
18,Kp,15.6073
18,pip,12.8993
18,Km,8.88517
18,pi0,5.59375
18,pi0,3.40024
18,p,2.37091
18,pi0,1.44175
18,pi0,1.17096
18,pip,0.804568
19,Kp,301.375
19,pip,76.8263
19,pip,60.787
19,Km,53.7458
19,pi0,32.4988
19,pim,12.9222
19,Kp,9.71603
19,pi0,9.40745
19,pim,6.28441
19,p,3.82252
19,pim,2.67614
19,KL,1.30877
19,pip,1.28177
